"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA1996_7: 0-4","v_CA1996_8: 5-9","v_CA1996_9: 10-14","v_CA1996_31: 0-4","v_CA1996_32: 5-9","v_CA1996_33: 10-14","v_CA1996_783: Total - Total population by visible minority population","v_CA1996_784: Total visible minority population","v_CA1996_1347: Total population 15 years and over by highest level of schooling","v_CA1996_1356: University","v_CA1996_1385: Total by mobility status 1 year ago","v_CA1996_1386: Non-movers","v_CA1996_1387: Movers","v_CA1996_1388: Non-migrants","v_CA1996_1389: Migrants","v_CA1996_1390: Internal migrants","v_CA1996_1391: Intraprovincial migrants","v_CA1996_1392: Interprovincial migrants","v_CA1996_1393: External migrants","v_CA1996_1403: All persons with employment income by work activity","v_CA1996_1454: Median income $","v_CA1996_1614: Household income of all private households","v_CA1996_1615: Under $10,000","v_CA1996_1616: $  10,000 - $19,999","v_CA1996_1617: $  20,000 - $29,999","v_CA1996_1618: $  30,000 - $39,999","v_CA1996_1619: $  40,000 - $49,999","v_CA1996_1620: $  50,000 - $59,999","v_CA1996_1621: $  60,000 - $69,999","v_CA1996_1622: $  70,000 - $79,999","v_CA1996_1623: $  80,000 - $89,999","v_CA1996_1624: $  90,000 - $99,999","v_CA1996_1625: $100,000 and over","v_CA1996_1626: Average household income $","v_CA1996_1627: Median household income $","v_CA1996_1628: Standard error of average household income $","v_CA1996_1701: Average gross rent $","v_CA1996_1702: Gross rent spending  30% or more of household income on shelter costs","v_CA1996_1704: Average owner's major payments $","v_CA1996_1705: Owner's major payments spending 30% or more of household income on shelter costs","v_CA1996_1678: Total number of occupied private dwellings","v_CA1996_1681: Average value of dwelling $","v_CA1996_1682: Owned","v_CA1996_1683: Rented","v_CA1996_1688: Period of construction, before 1946","v_CA1996_1689: Period of construction, 1946-1960"
"225","9330140.01","CT","Richmond",44.9637851359935,7513,2404,2400,"59933","","5915015","5915",310,295,290,325,290,225,7510,3725,5770,1550,7375,6050,1320,440,880,550,395,145,335,4180,22824,2400,180,170,245,310,300,265,230,135,120,115,330,59011,49118,2185,899,265,1039,410,2395,323057,1540,850,130,265
"226","9330140.02","CT","Richmond",16.2840220267579,4610,1482,1475,"59933","","5915015","5915",115,185,230,115,185,195,4610,1250,3585,1320,4580,4050,530,345,190,100,70,30,85,2590,25435,1475,40,100,115,100,130,200,140,85,90,100,375,76751,63748,3400,872,75,950,175,1480,390564,1190,285,95,70
"227","9330148.00","CT","Richmond",2.84493581206261,4640,1961,1945,"59933","","5915015","5915",90,110,125,100,110,125,4460,1955,3795,1160,4405,3410,1000,380,625,330,205,120,295,2115,17338,1945,160,480,245,280,210,180,125,110,45,30,85,38403,32096,1269,744,485,605,185,1945,241929,820,1125,0,105
"228","9330161.01","CT","Delta",142.672062033122,4099,1403,1385,"59933","","5915011","5915",130,120,140,135,140,125,3950,595,3170,775,3900,3485,415,125,290,250,155,95,40,2370,24008,1385,60,130,75,120,125,165,165,100,120,65,260,71676,61034,2853,800,60,871,170,1380,319719,1070,310,210,95
"229","9330141.00","CT","Richmond",2.40531774908631,7442,2861,2850,"59933","","5915015","5915",240,255,265,220,280,255,7335,1965,5820,1795,7250,5965,1285,805,480,325,285,40,150,4050,24522,2850,110,415,230,370,310,320,240,180,205,85,385,56822,49805,1542,712,425,928,345,2850,293487,1720,1130,55,115
"230","9330150.00","CT","Richmond",17.2900420106905,706,294,295,"59933","","5915015","5915",40,25,25,25,25,20,705,20,560,160,695,620,75,40,40,35,30,0,0,465,32076,295,0,10,20,35,30,60,30,40,15,20,30,61090,57918,3132,850,0,931,55,290,223814,250,45,205,75
"231","9330160.01","CT","Delta",2.15294481684601,4886,1583,1580,"59933","","5915011","5915",115,135,225,130,180,200,4885,385,3905,1440,4835,4395,440,215,225,215,200,20,0,2770,23412,1580,40,80,90,85,170,185,200,90,140,85,415,77100,66625,2861,1261,40,966,240,1580,360504,1450,130,10,55
"232","9330151.01","CT","Richmond",6.30805802540576,6977,2197,2165,"59933","","5915015","5915",215,215,270,195,190,215,6980,4785,5675,1735,6900,5605,1290,590,695,385,270,120,310,3385,15258,2170,235,290,305,330,205,150,155,195,90,50,155,45873,37608,1526,949,305,924,565,2165,344646,1505,660,110,225
"233","9330160.03","CT","Delta",2.72824593195641,5888,2132,2130,"59933","","5915011","5915",145,220,245,130,195,205,5780,395,4645,1530,5735,5150,580,335,240,160,130,25,85,3155,25441,2130,25,300,140,185,185,130,165,215,165,150,460,73306,63791,2771,731,135,962,280,2130,322794,1735,395,20,75
"234","9330151.02","CT","Richmond",6.01859729100835,9546,2806,2790,"59933","","5915015","5915",350,320,320,340,305,325,9450,6655,7490,2135,9300,7430,1870,980,885,475,395,75,410,4940,15810,2795,310,290,285,310,285,300,280,215,165,125,215,51767,45653,2154,883,310,1081,840,2795,325644,2090,700,115,230
