"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_102: Owned","v_CA06_103: Rented","v_CA06_109: Total number of occupied private dwellings by period of construction - 20% sample data","v_CA06_110: Period of construction, before 1946","v_CA06_111: Period of construction, 1946 to 1960","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_454: Non-migrants","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants","v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1240: University certificate, diploma or degree","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data","v_CA06_1268: University certificate, diploma or degree","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1303: Total visible minority population","v_CA06_1583: Median income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2000: Median household income $","v_CA06_2048: Total number of non-farm, non-reserve private dwellings occupied by usual residents - 20% sample data","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_2050: Average gross rent $","v_CA06_2051: Tenant-occupied households spending 30% or more of household income on gross rent","v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2054: Average value of dwelling $","v_CA06_2055: Average owner major payments $","v_CA06_2056: Owner households spending 30% or more of household income on owner's major payments"
"120","9330111.02","CT","North Vancouver",32.77921,7358,2677,2610,"59933","59","5915046","5915",2610,2295,315,2610,35,210,7285,700,335,365,260,190,70,105,1020,140,3850,1830,1095,365,7345,1430,35593,2610,85,75,115,135,265,190,195,165,135,150,1090,84454,2610,315,1041,105,2295,687423,1480,510
"121","9330111.03","CT","North Vancouver",24.43374,3897,1539,1478,"59933","59","5915046","5915",1475,1180,280,1480,65,95,3810,535,290,240,195,175,20,45,520,40,2330,810,270,70,3890,1015,31631,1480,70,105,120,80,135,140,110,170,140,65,340,67596,1455,285,1079,100,1175,420576,1437,395
"122","9330112.00","CT","North Vancouver",1.06268,2593,1097,1047,"59933","59","5915046","5915",1045,845,205,1045,125,365,2575,260,110,150,100,90,10,50,260,10,1455,480,490,75,2585,385,30517,1045,10,85,65,130,105,105,105,45,100,50,245,60667,1045,200,941,55,845,621140,1279,250
"123","9330113.00","CT","North Vancouver",2.99053,7189,2803,2699,"59933","59","5915046","5915",2695,1735,960,2700,60,640,7030,830,345,485,240,175,65,245,895,55,3745,1695,1040,180,7095,1680,29203,2700,120,320,205,205,195,230,225,185,130,100,780,62653,2695,960,884,395,1740,586690,1315,400
"124","9330114.00","CT","North Vancouver",3.76711,8064,2750,2655,"59933","59","5915046","5915",2655,2385,270,2655,215,350,7945,705,450,255,155,140,15,100,1125,100,4530,2180,720,135,8010,1700,35076,2655,50,75,145,165,160,160,220,165,190,240,1080,88373,2655,275,1182,135,2380,673320,1524,560
"125","9330115.00","CT","North Vancouver",4.96028,5424,1982,1915,"59933","59","5915046","5915",1915,1620,290,1915,65,255,5150,650,325,325,240,170,70,85,750,65,2885,1165,595,145,5180,1300,29796,1915,75,105,155,195,190,135,150,105,90,145,570,68137,1915,290,1143,135,1620,655483,1367,425
"126","9330116.00","CT","North Vancouver",15.96385,5165,1855,1790,"59933","59","5915046","5915",1790,1460,335,1790,190,355,5135,515,305,205,125,110,15,85,750,100,2835,1505,660,245,5160,940,31916,1790,45,85,175,125,125,90,65,100,100,110,765,87934,1790,335,1196,150,1460,871590,1466,315
"127","9330117.00","CT","North Vancouver",2.42383,5771,2134,2055,"59933","59","5915046","5915",2055,1730,325,2055,110,895,5710,420,230,185,150,120,30,35,795,115,3025,1675,935,350,5770,1110,37494,2055,65,80,65,105,165,125,105,125,130,110,965,92962,2055,325,1340,135,1725,790719,1499,365
"128","9330118.00","CT","North Vancouver",3.55633,7415,3425,3226,"59933","59","5915046","5915",3225,2320,905,3225,265,790,7330,1190,645,540,325,295,25,215,825,60,4290,1930,1180,255,7415,2485,26740,3225,190,350,335,280,335,275,275,170,150,140,725,54026,3225,905,955,440,2320,515702,1215,705
"129","9330119.00","CT","North Vancouver",1.3332,2202,865,833,"59933","59","5915046","5915",830,740,90,835,85,395,2180,210,95,115,60,50,10,50,275,35,1115,545,410,100,2190,510,32060,835,20,45,60,90,70,55,60,60,45,45,285,73545,830,95,1330,30,740,717086,1225,175
