"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"76","5350068.00","CT","Toronto",0.43058,2344,1274,1207,"35535","35","3520005","3520","0.33",645,57.8,565,39.5,1599,697895,863,1801,747671,925
"77","5350069.00","CT","Toronto",0.87273,5271,2069,1991,"35535","35","3520005","3520","0.261",1450,52.6,540,6.5,1166,648634,931,1599,658072,1085
"78","5350070.00","CT","Toronto",0.44642,3416,1772,1715,"35535","35","3520005","3520","0.319",550,55,1170,4.7,1536,753610,994,1710,816669,1064
"79","5350071.00","CT","Toronto",0.46398,3504,1450,1433,"35535","35","3520005","3520","0.258",945,50,495,24.2,1045,698807,983,1621,950848,1013
"80","5350072.01","CT","Toronto",0.40518,4641,1950,1912,"35535","35","3520005","3520","0.27",835,65.3,1080,60.9,1595,500742,600,1572,522861,714
"81","5350072.02","CT","Toronto",0.53691,3122,1317,1265,"35535","35","3520005","3520","0.33299999999999996",920,72.4,400,13.6,1420,500468,850,1499,609900,950
"82","5350073.00","CT","Toronto",0.35717,2751,1093,1061,"35535","35","3520005","3520","0.395",620,68.5,385,7.8,1521,499746,928,1410,470436,909
"83","5350074.00","CT","Toronto",0.3998,3629,1670,1508,"35535","35","3520005","3520","0.32899999999999996",955,68.1,540,25,1358,401184,791,1303,407540,776
"84","5350075.00","CT","Toronto",0.49858,4060,1864,1784,"35535","35","3520005","3520","0.259",1115,65,685,35.8,1409,421002,848,1406,431307,853
"85","5350076.00","CT","Toronto",0.45744,3950,1754,1706,"35535","35","3520005","3520","0.309",1070,77.2,635,55.1,1642,449244,650,1526,465752,709
"86","5350077.00","CT","Toronto",0.6104,4476,2000,1914,"35535","35","3520005","3520","0.27399999999999997",1295,64.9,620,22.6,1506,500358,848,1481,507525,861
"87","5350078.00","CT","Toronto",0.77495,5949,3004,2822,"35535","35","3520005","3520","0.284",1490,70.2,1335,34.6,1887,500779,868,1712,554092,764
"88","5350079.00","CT","Toronto",1.01839,6991,2965,2838,"35535","35","3520005","3520","0.22",2140,71.6,690,38.1,1804,500976,773,1756,534542,888
"89","5350080.01","CT","Toronto",0.47192,3414,1547,1482,"35535","35","3520005","3520","0.34",940,78.2,555,12.7,1677,449346,808,1645,494876,828
"90","5350080.02","CT","Toronto",0.39054,4485,2052,1961,"35535","35","3520005","3520","0.336",355,77.5,1605,23.7,1522,369387,892,1414,514936,865
"91","5350081.00","CT","Toronto",0.36798,2792,1137,1078,"35535","35","3520005","3520","0.264",805,65.8,260,0,1607,490248,941,1531,472328,1015
"92","5350082.00","CT","Toronto",0.3084,2605,1077,1000,"35535","35","3520005","3520","0.36",730,61,245,0,1586,519099,902,1550,538709,977
"93","5350083.00","CT","Toronto",0.44642,4047,1917,1838,"35535","35","3520005","3520","0.284",955,59.9,905,46.4,1372,501415,713,1434,543573,734
"94","5350084.00","CT","Toronto",0.40903,3754,1565,1482,"35535","35","3520005","3520","0.312",935,67.4,540,10.2,1993,697521,1096,1999,685061,1103
"95","5350085.00","CT","Toronto",0.49901,3899,2136,2062,"35535","35","3520005","3520","0.341",730,51.4,1330,11.7,1205,696973,1073,1755,767842,1063
"96","5350086.00","CT","Toronto",1.1385,2679,986,931,"35535","35","3520005","3520","0.29100000000000004",735,40.1,170,0,1996,1503012,1248,2623,1904541,1590
"97","5350087.00","CT","Toronto",1.60965,5074,2648,2480,"35535","35","3520005","3520","0.249",1785,28.3,695,0,1442,1000436,1590,2052,1403747,1596
"98","5350088.00","CT","Toronto",0.22973,3016,1822,1702,"35535","35","3520005","3520","0.332",935,46,765,15.7,1382,501297,1251,1643,581274,1347
"99","5350089.00","CT","Toronto",0.32969,3288,2326,1999,"35535","35","3520005","3520","0.42100000000000004",1060,57.1,935,0,1855,698147,1648,2190,951916,1671
