"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"54","9330033.02","CT","Vancouver",0.44716,2971,1084,973,"59933","59","5915022","5915","0.244",570,41.6,400,0,710,799411,850,1221,783292,814
"55","9330034.01","CT","Vancouver",0.67336,4963,1771,1623,"59933","59","5915022","5915","0.184",1010,41.1,620,9.7,594,750360,803,1032,730980,896
"56","9330034.02","CT","Vancouver",1.37365,7293,2609,2420,"59933","59","5915022","5915","0.302",1360,54.4,1060,11.8,1198,720564,936,1452,724306,1051
"57","9330035.01","CT","Vancouver",0.72093,4214,1691,1479,"59933","59","5915022","5915","0.341",870,35.6,630,15.9,557,752513,849,1156,776717,883
"58","9330035.02","CT","Vancouver",1.54494,6869,2667,2537,"59933","59","5915022","5915","0.319",1475,45.1,1065,34.7,710,749914,903,1169,699945,894
"59","9330036.01","CT","Vancouver",1.36961,6051,2064,1938,"59933","59","5915022","5915","0.318",1345,43.1,575,7,667,798937,803,1168,775419,819
"60","9330036.02","CT","Vancouver",1.46931,5967,2042,1908,"59933","59","5915022","5915","0.256",1410,43.3,500,0,758,802283,849,1247,848167,980
"61","9330037.01","CT","Vancouver",0.60169,5012,2255,2090,"59933","59","5915022","5915","0.231",910,66.5,1180,9.3,1700,753400,928,1661,738447,985
"62","9330037.02","CT","Vancouver",0.51895,3559,1659,1596,"59933","59","5915022","5915","0.33299999999999996",555,67.9,1040,18.8,1496,670188,864,1632,704636,953
"63","9330038.00","CT","Vancouver",0.58903,5394,2909,2782,"59933","59","5915022","5915","0.28",830,81.3,1955,8.2,1589,484795,854,1680,564773,954
