,FIPS,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,trtid_base,trtid90
570,13121011617,1881.6867857914106,1736.638366816091,764.2536868184567,25.731050004205436,48.97199839510067,242.1623818944173,290.5118548861904,100.43409840351154,431.82512144154447,150.02862220193978,28760.67363373285,129.48528389213058,10596.21239850602,484.3247637888346,276.1937706096568,14.11057580875782,19.090779035378226,10.790440324344216,11.412965727671766,18.468253632050676,15.978152018740474,17.638219760947276,15.770643550964623,10.167914921016665,28.636168553067343,32.5788294408085,12.035491130999318,40.67165968406666,12.450508066551018,25.731050004205436,32.371320973032645,28.42866008529149,21.78838911646428,59.554930251669035,47.93445605622142,115.16719961559691,89.64365807916732,44.82182903958366,10.167914921016665,28.84367702084319,13,121,011617,13121011602,13121011602
571,13121011618,632.7708927151168,583.994221562948,257.0021171007692,8.65280003271664,16.46823232033167,81.4340132111316,97.69290359518787,33.77383238576495,145.21352312970427,50.45140664237202,9671.5974559236,43.54312274528374,3563.2788779890525,162.8680264222632,92.87803906085361,4.745083888909125,6.4198193791123455,3.6285935621069783,3.8379354983823806,6.210477442836943,5.373109697735333,5.931354861136406,5.303329052310199,3.4192516258315755,9.629729068668519,10.955561331746068,4.047277434657783,13.677006503326302,4.186838725508052,8.65280003271664,10.885780686320935,9.559948423243384,7.32696776963909,20.027045237013514,16.119329093205998,38.72825821094948,30.145238823657973,15.072619411828986,3.4192516258315755,9.699509714093653,13,121,011618,13121011602,13121011602
572,13121011619,1682.4386291483702,1552.749105353188,683.3283492670321,23.0064391281868,43.78644866332326,216.52027792414512,259.7501191892058,89.79932691969687,386.09999859481235,134.1423829812827,25715.261799731376,115.77433883861744,9474.200061626861,433.04055584829024,246.9481490291664,12.616434360618568,17.069293546719237,9.647861569884787,10.20446896814737,16.512686148456655,14.28625655540632,15.77054295077321,14.100720755985458,9.091254171622204,25.60394032007886,29.12912050907522,10.761076366409956,36.365016686488815,11.132147965251677,23.0064391281868,28.94358470965436,25.418404520657997,19.481258939190436,53.24877443378719,42.85876966621896,102.97236867857802,80.15146534981207,40.075732674906035,9.091254171622204,25.78947611949972,13,121,011619,13121011602,13121011602
573,13121011620,2039.3601594761442,1882.1576063802218,828.2932804753683,27.887148188690105,53.07554010105537,262.45404787259156,314.85489890456574,108.84983647843558,468.0093175860009,162.60006564857215,31170.634991552008,140.33532636889214,11484.107541187674,524.9080957451831,299.33705031569787,15.292952232507478,20.690464785157175,11.694610530741013,12.369299599822225,20.015775716075964,17.317019439751114,19.116190290634346,17.09212308339071,11.0199214616598,31.035697177735763,35.30872794858344,13.043988668903436,44.0796858466392,13.493781381624245,27.887148188690105,35.083831592223035,30.81080082137536,23.61411741784243,64.54525427543598,51.95105831925334,124.81747778002426,97.15522594769456,48.57761297384728,11.0199214616598,31.260593534096166,13,121,011620,13121011602,13121011602
574,13121011621,1560.3747600990234,1440.0944383842884,633.7516807945196,21.33728167757818,40.609665128293955,200.81135256236882,240.90479313394718,83.2842284834503,358.0877675083886,124.41011816845986,23849.57452026077,107.37470779684503,8786.830254708484,401.62270512473765,229.03162832948834,11.701089952220292,15.8308864059451,8.947892316403752,9.464116873119353,15.314661849229498,13.249763622367094,14.626362440275363,13.07768877012856,8.431667759688152,23.746329608917648,27.015751801449788,9.980341429834954,33.726671038752606,10.324491134312021,21.33728167757818,26.843676949211257,23.574254756679117,18.06785948504604,49.38548259245917,39.74929086710128,95.5015429923862,74.33633616704655,37.16816808352328,8.431667759688152,23.918404461156182,13,121,011621,26242023203,26242023203
575,13121011622,1497.5990765489423,1405.8675031365115,506.6589324790878,15.03236212345237,22.206898591463727,143.49072936022716,197.64139746402716,72.59947616440066,414.5857144729421,128.97083412734705,35548.11997602771,170.99311915427072,12347.377261447547,489.9183473870613,20.66949791974701,4.270557421435332,6.149602686866879,1.5374006717167197,2.391512156003786,1.195756078001893,8.370292546013252,2.5623344528611995,0.0,8.028647952298424,1.3665783748593063,13.836606045450477,8.882759436585491,10.761804702017038,11.44509388944669,12.640849967448583,11.786738483161518,10.93262699887445,11.274271592589278,25.623344528611995,31.431302621764047,80.62812411669907,93.95226327157731,63.88753902467257,27.50238979404354,56.200535666088975,13,121,011622,13121011603,13121011603
576,13121011623,1639.56611327337,1539.1387147530324,554.6883873581403,16.457376293835583,24.312033161348023,157.09313735024875,216.3770951359974,79.48164687363777,453.8869575583973,141.1968079755212,38917.9546221271,187.20265534237978,13517.864468988906,536.3608546672779,22.62889240402393,4.6753909925669275,6.732563029296376,1.683140757324094,2.618218955837479,1.3091094779187396,9.163766345431178,2.8052345955401563,0.0,8.789735066025823,1.4961251176214168,15.148266815916845,9.72481326453921,11.781985301268657,12.530047860079366,13.839157337998104,12.90407913948472,11.969000940971334,12.343032220376688,28.052345955401563,34.410877705292584,88.27138193966358,102.8586018364724,69.94384924880123,30.10951799213101,61.52814546218077,13,121,011623,13121011603,13121011603
577,13121011624,891.7359786902275,837.1149885503106,301.6868840875117,8.950925758496638,13.222958506870034,85.4406549674679,117.6843307111433,43.22890281092126,246.86246381671978,76.79487440528365,21166.9051175358,101.81678050289926,7352.168359950613,291.71880767464046,12.307522917932877,2.542876635936545,3.6617423557486246,0.9154355889371562,1.4240109161244652,0.7120054580622326,4.984038206435628,1.5257259815619268,0.0,4.780608075560704,0.8137205234996944,8.238920300434405,5.289183402748013,6.408049122560093,6.81490938430994,7.526914842372173,7.018339515184864,6.509764187997555,6.713194318872478,15.25725981561927,18.71557204049297,48.00951088648197,55.94328599060399,38.041434473610714,16.37612553543135,33.46425652892493,13,121,011624,13121011603,13121011603
578,13121011625,1228.97388004215,1153.6962510262226,415.77923214383674,12.335998795906148,18.223634584861355,117.75271577910414,162.19034780526607,59.57726691204674,340.2212395189116,105.8372623966948,29171.83351622806,140.32198630343242,10132.62119279191,402.0414153029413,16.961998344370954,3.5045451124733376,5.046544961961606,1.2616362404904016,1.962545262985069,0.9812726314925345,6.868908420447742,2.1027270674840026,0.0,6.588544811449874,1.121454435991468,11.354726164413613,7.289453833944542,8.83145368343281,9.392180901428544,10.37345353292108,9.67254451042641,8.971635487931744,9.25199909692961,21.027270674840025,25.793452027803763,66.16581172349662,77.09999247441343,52.427994882601126,22.569270524328292,46.11981368014912,13,121,011625,13121011603,13121011603
579,13121011626,1284.8668254726285,1206.1656180722862,434.6886054923937,12.897032125195768,19.05243382131193,123.10803392232324,169.56666100967618,62.28680287736593,355.6942837255697,110.65067334685006,30498.549832423174,146.70374042410188,10593.446319015915,420.3260015347894,17.73341917214418,3.663929581021525,5.276058596670996,1.319014649167749,2.051800565372054,1.025900282686027,7.181301978802189,2.198357748612915,0.0,6.8881876123204675,1.172457465926888,11.871131842509742,7.620973528524773,9.233102544174244,9.819331277137687,10.845231559823715,10.11244564361941,9.379659727415104,9.672774093896827,21.98357748612915,26.966521716318425,69.1749904896864,80.60645078247356,54.812386532082016,23.595706501778622,48.21731328624327,13,121,011626,13121011603,13121011603
